[   0,    0]
[1137, 2558]
[1492, 2209]
[1498, 2206]
[1140, 2565]
[1142, 2570]
[1499, 2217]
[1501, 2216]
[1145, 2577]
[1504, 2220]
[1503, 2224]
[1508, 2227]
[1509, 2231]
[1152, 2592]
[1514, 2237]
[1518, 2243]
[1519, 2246]
[1522, 2248]
[1523, 2251]
[1524, 2254]
[1527, 2256]
[1166, 2621]
[1529, 2261]
[1168, 2626]
[1536, 2269]
[1173, 2637]
[1175, 2642]
[1541, 2276]
[1540, 2279]
[1176, 2645]
[1544, 2284]
[1546, 2283]
[1179, 2652]
[1180, 2655]
[1549, 2287]
[1550, 2292]
[1184, 2664]
[1552, 2297]
[1554, 2295]
[1186, 2669]
[1557, 2304]
[1564, 2308]
[1563, 2311]
[1196, 2690]
[1568, 2318]
[1569, 2321]
[1200, 2699]
[1574, 2325]
[1571, 2330]
[1201, 2702]
[1578, 2332]
[1576, 2336]
[1205, 2711]
[1579, 2337]
[1206, 2714]
[1582, 2338]
[1586, 2339]
[1212, 2727]
[1590, 2352]
[1215, 2734]
[1593, 2356]
[1596, 2357]
[1597, 2363]
[1602, 2367]
[1225, 2755]
[1606, 2374]
[1226, 2758]
[1607, 2378]
[1611, 2381]
[1613, 2386]
[1618, 2390]
[1620, 2396]
[1621, 2399]
[1623, 2397]
[1625, 2402]
[1626, 2401]
[1242, 2791]
[1628, 2411]
[1632, 2412]
[1246, 2800]
[1636, 2417]
[1637, 2416]
[1631, 2423]
[1249, 2807]
[1639, 2424]
[1641, 2429]
[1642, 2428]
[1643, 2427]
[1648, 2435]
[1652, 2434]
[1262, 2834]
[1653, 2443]
[1656, 2445]
[1267, 2845]
[1659, 2453]
[1660, 2458]
[1270, 2852]
[1663, 2460]
[1273, 2859]
[1669, 2465]
[1672, 2467]
[1671, 2473]
[1277, 2868]
[1279, 2873]
[1675, 2478]
[1680, 2480]
[1683, 2484]
[1284, 2884]
[1681, 2487]
[1285, 2887]
[1685, 2492]
[1290, 2898]
[1291, 2901]
[1694, 2499]
[1292, 2904]
[1695, 2504]
[1294, 2909]
[1698, 2511]
[1297, 2916]
[1702, 2514]
[1703, 2522]
[1706, 2520]
[1709, 2519]
[1708, 2523]
